is_first_time_recipient,amount_ratio,hour,is_night,velocity_24h,recipient_flagged_count,is_scam
0,0.6597175600764555,13,0,0,0,0
1,0.860350159267189,16,0,0,0,0
0,0.760797604148711,5,1,1,0,0
0,1.0026650482577601,10,0,1,0,0
0,0.7042146456667729,19,0,0,0,0
0,0.7638486138896651,4,1,1,0,0
0,0.8101170858511206,23,1,1,0,0
0,0.6917679361843811,11,0,1,0,0
0,1.9288872128553636,10,0,2,0,0
0,0.46697508122542153,9,0,3,0,0
0,1.6975410383408003,15,0,1,0,0
0,0.8804658955169022,6,0,2,0,0
0,2.2413020325115345,8,0,2,0,0
0,0.8019915182274115,9,0,1,0,0
0,1.059397174476217,10,0,1,0,0
0,2.4599027053751303,15,0,3,0,1
0,2.4082087968441863,12,0,2,0,0
0,1.0710339478918547,20,0,1,0,0
0,0.8262147245278848,23,1,2,0,0
0,1.2372080857020822,6,0,1,0,0
0,0.9981571872441567,0,1,0,0,0
0,0.8893638279921493,21,0,1,0,1
0,0.42022659486105335,8,0,0,0,0
0,1.1487473523322855,7,0,2,0,0
1,3.9449068175507946,5,1,3,0,1
0,1.1059143143184496,20,0,1,0,0
0,4.177924262882774,1,1,4,0,1
0,0.7813745472236527,15,0,2,0,0
1,4.752399525992411,0,1,4,0,1
0,0.7040657916563123,13,0,1,0,0
0,1.4879868551356625,19,0,3,0,0
0,1.367299717604967,7,0,2,0,0
0,3.891982394482838,3,1,4,5,1
1,1.2130615904555402,1,1,3,0,1
1,1.326369755829617,12,0,1,0,0
0,1.434693721498795,22,0,0,0,1
0,3.004669403743082,0,1,4,0,1
1,4.116372063892584,1,1,2,3,1
1,3.481350434942016,0,1,2,1,1
0,0.7389783454735817,11,0,3,0,0
1,2.6979955836329936,0,1,2,0,1
0,2.7913877879958466,7,0,4,1,1
0,0.9237466636061274,20,0,1,0,0
1,0.5565470328982141,4,1,3,0,0
1,0.30451742108242036,23,1,0,0,0
0,1.3457871254876674,11,0,2,1,1
1,10.552351047409337,0,1,2,1,1
1,5.0900044472573756,16,0,3,1,1
0,1.464283488664369,15,0,0,0,0
0,0.5895306898523313,17,0,1,0,0
1,2.4412065936350356,7,0,2,3,1
1,7.331147900594271,11,0,6,1,1
0,1.010609353719167,11,0,0,0,0
1,0.5921407371752944,23,1,3,0,0
0,1.2626925790231127,7,0,1,0,0
0,2.6360004073408803,12,0,2,0,0
0,1.1215685955545838,12,0,1,0,0
0,1.3955468341992212,16,0,0,0,1
0,1.0491092592739073,14,0,0,0,0
0,1.904739842616236,23,1,1,0,0
0,1.1104716930597127,6,0,0,0,0
1,2.1756686400345395,8,0,0,4,1
0,5.10070616033685,0,1,3,2,1
1,4.351721106267801,8,0,3,5,1
0,0.8872062363365579,14,0,0,0,0
0,0.42646645873772465,12,0,0,0,0
0,1.7407457245318791,0,1,1,0,0
0,2.3324379798167154,13,0,2,0,0
1,7.2863608416429635,4,1,3,2,1
1,6.358718652837149,8,0,1,5,1
0,0.9017341497651066,15,0,2,0,0
1,0.8360989229274016,5,1,3,0,0
0,1.0568645587803922,10,0,3,0,0
0,2.714905344577316,1,1,0,0,0
1,0.8812809144295477,13,0,0,0,0
0,0.6790459566138161,12,0,0,0,0
0,0.8900965330311663,17,0,0,0,0
0,0.8353749532667031,20,0,1,0,0
0,0.9738322460001105,18,0,0,0,0
1,1.2734333823536554,23,1,4,0,1
0,0.7451299200680075,13,0,0,0,1
0,0.8285195830147488,19,0,2,0,0
1,7.694815423023561,4,1,3,5,1
0,0.6638397570999466,3,1,1,0,0
0,0.9253248686479855,23,1,0,0,0
0,0.9603636858376529,23,1,0,0,0
0,0.8537964726811745,16,0,2,0,0
0,1.8774696523743566,0,1,1,0,0
0,3.5328094375253905,0,1,4,0,1
0,6.170698182416836,0,1,0,1,1
0,3.3161586191163366,12,0,3,0,1
0,1.4233096133635579,13,0,0,0,0
0,0.8525245279023097,13,0,1,0,0
1,1.3689919127557697,10,0,1,0,0
0,0.9774784206992715,12,0,0,0,0
1,9.827421758966858,0,1,1,0,1
